filename,date,title,words,author,nationality,gender
1898 the battle of the strong.txt,1898,The Battle of the Strong,125433,Gilbert Parker,c,m
1898 evelyn innes.txt,1898,Evelyn Innes,178537,George Augustus Moore,b,m
1898 the valiant runaways.txt,1898,The Valiant Runaways,46223,Gertrude Atherton,a,f
1898 swallow.txt,1898,Swallow,107090,Henry Rider Haggard,b,m
1898 the castle inn.txt,1898,The Castle Inn,110487,Stanley John Weyman,b,m
1898 the town traveller.txt,1898,The Town Traveller,64853,George Gissing,b,m
1899 the story of the treasure seekers.txt,1899,The Story of the Treasure Seekers,53064,Edith Nesbit,b,f
1899 the crown of life.txt,1899,The Crown of Life,120042,George Gissing,b,m
1899 a woman intervenes.txt,1899,A Woman Intervenes,97796,Robert Barr,c,m
1899 jennie baxter journalist.txt,1899,"Jennie Baxter,Journalist",68536,Robert Barr,c,m
1899 the sky pilot.txt,1899,The Sky Pilot,44835,Ralph Connor,c,m
1899 the strong arm.txt,1899,The Strong Arm,96185,Robert Barr,c,m
1899 hilda wade.txt,1899,Hilda Wade,89009,Grant Allen,c,m
1900 the touchstone.txt,1900,The Touchstone,27057,Edith Wharton,a,f
1900 the girl at the halfway house.txt,1900,The Girl at the Halfway House,84402,Emerson Hough,a,m
1900 senator north.txt,1900,Senator North,102389,Gertrude Atherton,a,f
1900 the wonderful wizard of oz.txt,1900,The Wonderful Wizard of Oz,39467,Lyman Frank Baum,a,m
1900 black heart and white heart.txt,1900,Black Heart and White Heart,21744,Henry Rider Haggard,b,m
1900 the isle of unrest.txt,1900,The Isle of Unrest,74582,Henry Seton Merriman,b,m
1900 eben holden.txt,1900,Eben Holden,89045,Irving Bacheller,a,m
1900 the master christian.txt,1900,The Master Christian,226736,Marie Corelli,b,f
1900 three men on the bummel.txt,1900,Three Men on the Bummel,67410,Jerome Kapla Jerome,b,m
1900 the doomswoman.txt,1900,The Doomswoman,50521,Gertrude Atherton,a,f
1900 an unpardonable liar.txt,1900,An Unpardonable Liar,22032,Gilbert Parker,c,m
1900 eleanor.txt,1900,Eleanor,148209,Mrs. Humphrey Ward,b,f
1901 emily fox-setton.txt,1901,Emily Fox-Setton,78363,Frances Burnett,a,f
1901 american fairy tales.txt,1901,American Fairy Tales,31853,Lyman Frank Baum,a,m
1901 the wouldbegoods.txt,1901,The Wouldbegoods,78818,Edith Nesbit,b,f
1901 count hannibal.txt,1901,Count Hannibal,110873,Stanley John Weyman,b,m
1901 the man from glengarry.txt,1901,The Man from Glengarry,117785,Ralph Connor,c,m
1901 the right of way.txt,1901,The Right of Way,119275,Gilbert Parker,c,m
1901 penelope's irish experiences.txt,1901,Penelope’s Irish Experiences,71734,Kate Douglas Wiggin,a,f
1901 d'ri and i.txt,1901,D’ri and I,66165,Irving Bacheller,a,m
1901 the velvet glove.txt,1901,The Velvet Glove,73639,Henry Seton Merriman,b,m
1901 by the ionian sea.txt,1901,By the Ionian Sea,40075,George Gissing,b,m
1901 marietta.txt,1901,Marietta,117155,Francis Marion Crawford,a,m
1901 lysbeth.txt,1901,Lysbeth,157597,Henry Rider Haggard,b,m
1901 our friend the charlatan.txt,1901,Our Friend the Charlatan,132161,George Gissing,b,m
1901 sister teresa.txt,1901,Sister Teresa,114640,George Augustus Moore,b,m
1902 the surprising adventures of the magical monarch of mo and his people.txt,1902,The Surprising Adventures of the Magical Monarch of Mo and his People,32256,Lyman Frank Baum,a,m
1902 temporal power.txt,1902,Temporal Power,202667,Marie Corelli,b,f
1902 paul kelver.txt,1902,Paul Kelver,136854,Jerome Kapla Jerome,b,m
1902 the vultures.txt,1902,The Vultures,92658,Henry Seton Merriman,b,m
1902 the valley of decision.txt,1902,The Valley of Decision,153878,Edith Wharton,a,f
1902 the diary of a goose girl.txt,1902,The Diary of a Goose Girl,18528,Kate Douglas Wiggin,a,f
1902 the splindid idle forties.txt,1902,The Splendid Idle Forties,86059,Gertrude Atherton,a,f
1902 glengarry schooldays.txt,1902,Glengarry Schooldays,59958,Ralph Connor,c,m
1902 five children and it.txt,1902,Five Children and It,53634,Edith Nesbit,b,f
1902 the mississippi bubble.txt,1902,The Mississippi Bubble,93703,Emerson Hough,a,m
1903 pearl-maiden.txt,1903,Pearl-Maiden,133886,Henry Rider Haggard,b,m
1903 sanctuary.txt,1903,Sanctuary,27210,Edith Wharton,a,f
1903 darrel of the blessed isles.txt,1903,Darrel of the Blessed Isles,70407,Irving Bacheller,a,m
1903 lady rose's daughter.txt,1903,Lady Rose’s Daughter,130140,Mrs. Humphrey Ward,b,f
1903 the private papers of henry ryecroft.txt,1903,The Private Papers of Henry Ryecroft,61951,George Gissing,b,m
1903 rebecca of sunnybrook farm.txt,1903,Rebecca of Sunnybrook Farm,73749,Kate Douglas Wiggin,a,f
1903 barlasch of the guard.txt,1903,Barlasch of the Guard,75438,Henry Seton Merriman,b,m
1903 the log of a cowboy.txt,1903,The Log of a Cowboy,99128,Andy Adams,a,m
1903 the heart of rome.txt,1903,The Heart of Rome,99632,Francis Marion Crawford,a,m
1903 the enchanted island of yew.txt,1903,The Enchanted Island of Yew,37034,Lyman Frank Baum,a,m
1904 tommy and co.txt,1904,Tommy and Co.,55068,Jerome Kapla Jerome,b,m
1904 the law of the land.txt,1904,The Law of the Land,88187,Emerson Hough,a,m
1904 the brethren.txt,1904,The Brethren,128538,Henry Rider Haggard,b,m
1904 stella fregelius.txt,1904,Stella Fregelius,99754,Henry Rider Haggard,b,m
1904 god's good man.txt,1904,God’s Good Man,212323,Marie Corelli,b,f
1904 a texas matchmaker.txt,1904,A Texas Matchmaker,90190,Andy Adams,a,m
1904 the last hope.txt,1904,The Last Hope,96669,Henry Seton Merriman,b,m
1904 the prospector.txt,1904,The Prospector,95711,Ralph Connor,c,m
1904 the phoenix and the carpet.txt,1904,The Phoenix and the Carpet,62117,Edith Nesbit,b,f
1904 vergilius.txt,1904,Vergilius,41577,Irving Bacheller,a,m
1905 the house of mirth.txt,1905,The House of Mirth,130513,Edith Wharton,a,f
1905 ayesha.txt,1905,Ayesha,117119,Henry Rider Haggard,b,m
1905 will warburton.txt,1905,Will Warburton,85096,George Gissing,b,m
1905 the outlet.txt,1905,The Outlet,94320,Andy Adams,a,m
1905 the marriage of william ashe.txt,1905,The Marriage of William Ashe,144694,Mrs. Humphrey Ward,b,f
1905 heart's desire.txt,1905,Heart’s Desire,85752,Emerson Hough,a,m
1906 the incomplete amorist.txt,1906,The Incomplete Amorist,92958,Edith Nesbit,b,f
1906 the doctor.txt,1906,The Doctor,95979,Ralph Connor,c,m
1906 the railway children.txt,1906,The Railway Children,59895,Edith Nesbit,b,f
1906 the story of the amulet.txt,1906,The Story of the Amulet,69125,Edith Nesbit,b,f
1906 rezanov.txt,1906,Rezanov ,64836,Gertrude Atherton,a,f
1906 benita.txt,1906,Benita,77937,Henry Rider Haggard,b,m
1906 aunt jane's nieces.txt,1906,Aunt Jane’s Nieces,51344,Lyman Frank Baum,a,m
1906 aunt jane's nieces abroad.txt,1906,Aunt Jane’s Nieces Abroad,57602,Lyman Frank Baum,a,m
1906 fenwick's career.txt,1906,Fenwick’s Career,97019,Mrs. Humphrey Ward,b,f
1906 the dawn of a tomorrow.txt,1906,The Dawn of a Tomorrow,18739,Frances Burnett,a,f
1906 a rock in the baltic.txt,1906,A Rock in the Baltic,60729,Robert Barr,c,m
1906 sir nigel.txt,1906,Sir Nigel,130620,Arthur Conan Doyle,b,m
1906 the shuttle.txt,1906,The Shuttle,214662,Frances Burnett,a,f
1907 new chronicles of rebecca.txt,1907,New Chronicles of Rebecca,61624,Kate Douglas Wiggin,a,f
1907 reed anthony cowman.txt,1907,"Reed Anthony, Cowman",92586,Andy Adams,a,m
1907 madame de treymes.txt,1907,Madame de Treymes,19273,Edith Wharton,a,f
1907 ozma of oz.txt,1907,Ozma of Oz,38646,Lyman Frank Baum,a,m
1907 the enchanted castle.txt,1907,The Enchanted Castle,68358,Edith Nesbit,b,f
1907 the old peabody pew.txt,1907,The Old Peobody Pew,12988,Kate Douglas Wiggin,a,f
1907 the weavers.txt,1907,The Weavers,160183,Gilbert Parker,c,m
1907 fair margeret.txt,1907,Fair Margeret,105168,Henry Rider Haggard,b,m
1907 the way of a man.txt,1907,The Way of a Man,97638,Emerson Hough,a,m
1908 the yellow god.txt,1908,The Yellow God,92507,Henry Rider Haggard,b,m
1908 the ghost kings.txt,1908,The Ghost Kings,122599,Henry Rider Haggard,b,m
1908 the testing of diana mallory.txt,1908,The Testing of Diana Mallory,151078,Mrs. Humphrey Ward,b,f
1908 dorothy and the wizard in oz.txt,1908,Dorothy and the Wizard of Oz,41929,Lyman Frank Baum,a,m
1909 the foreigner.txt,1909,The Foreigner,86416,Ralph Connor,c,m
1909 northern lights.txt,1909,Northern Lights,112578,Gilbert Parker,c,m
1909 they and i.txt,1909,They and I,70111,Jerome Kapla Jerome,b,m
1909 the secret garden.txt,1909,The Secret Garden,81019,Frances Burnett,a,f
1909 54-40 or fight!.txt,1909,54-40 or Fight!,89517,Emerson Hough,a,m
1909 homespun tales.txt,1909,Homespun Tales,72208,Kate Douglas Wiggin,a,f
1909 the lady of blossholme.txt,1909,The Lady of Blossholme,95177,Henry Rider Haggard,b,m
1910 queen sheba's ring.txt,1910,Queen Sheba’s Ring,102011,Henry Rider Haggard,b,m
1910 the purchase price.txt,1910,The Purchase Price,89191,Emerson Hough,a,m
1910 morning star.txt,1910,Morning Star,85399,Henry Rider Haggard,b,m
1910 the sword maker.txt,1910,The Sword Maker,112032,Robert Barr,c,m
1910 the emerald city of oz.txt,1910,The Emerald City of Oz,53615,Lyman Frank Baum,a,m
1911 ethan frome.txt,1911,Ethan Forme,34800,Edith Wharton,a,f
1911 aunt jane's nieces and uncle john.txt,1911,Aunt Jane’s Nieces and Uncle John,43163,Lyman Frank Baum,a,m
1911 wells brothers.txt,1911,Wells Brothers,74340,Andy Adams,a,m
1911 keeping up with lizzie.txt,1911,Keeping up with Lizzie,21161,Irving Bacheller,a,m
1911 the life everlasting.txt,1911,The Life Everlasting,131136,Marie Corelli,b,f
1911 the case of richard meynell.txt,1911,The Case of Richard Meynell,154219,Mrs. Humphrey Ward,b,f
1911 mother carey's chickens.txt,1911,Mother Carey’s Chickens,72712,Kate Douglas Wiggin,a,f
1912 the lost world.txt,1912,The Lost World,75895,Arthur Conan Doyle,b,m
1912 aunt jane's nieces on vacation.txt,1912,Aunt Jane’s Nieces on Vacation,48726,Lyman Frank Baum,a,m
1912 sky island.txt,1912,Sky Island,54728,Lyman Frank Baum,a,m
1912 the reef.txt,1912,The Reef,96913,Edith Wharton,a,f
1912 corporal cameron of the north west mounted police.txt,1912,Corporal Cameron of the North West Mounted Police,124859,Ralph Connor,c,m
1913 the coryston family.txt,1913,The Coryston Family,86478,Mrs. Humphrey Ward,b,f
1913 the patrol of the sundance trail.txt,1913,The Patrol of the Sundance Trail,94139,Ralph Connor,c,m
1913 the custom of the country.txt,1913,The Custom of the Country,140208,Edith Wharton,a,f
1913 the poison belt.txt,1913,The Poison Belt,29309,Arthur Conan Doyle,b,m
1913 the mating of lydia.txt,1913,The Mating of Lydia,132682,Mrs. Humphrey Ward,b,f
1913 t tembarom.txt,1913,T. Tembarom,181625,Frances Burnett,a,f
1913 the woman thou gavest me.txt,1913,The Woman thou gavest me,240447,Hall Caine,b,m
1913 roden's corner.txt,1913,Roden’s Corner,84209,Henry Seton Merriman,b,m
1913 the judgment house.txt,1913,The Judgment House,149003,Gilbert Parker,c,m
1914 delia blanchflower.txt,1914,Delia Blanchflower,109089,Mrs. Humphrey Ward,b,f
1914 the lost prince.txt,1914,The Lost Prince,99915,Frances Burnett,a,f
1914 innocent.txt,1914,Innocent,127162,Marie Corelli,b,f
1914 a summer in a canyon.txt,1914,A Summer in a Canyon,54177,Kate Douglas Wiggin,a,f
1915 a great success.txt,1915,A Great Success,32605,Mrs. Humphrey Ward,b,f
1915 penelope's postscripts.txt,1915,Penelope’s Postscripts,30283,Kate Douglas Wiggin,a,f
1915 the scarecrow of oz.txt,1915,The Scarecrow of Oz,46035,Lyman Frank Baum,a,m
1916 mary louise.txt,1916,Mary Louise,46302,Lyman Frank Baum,a,m
1916 lady connie.txt,1916,Lady Connie,115572,Mrs. Humphrey Ward,b,f
1917 the major.txt,1917,The Major,118678,Ralph Connor,c,m
1917 summer.txt,1917,Summer,57421,Edith Wharton,a,f
1917 the light in the clearing.txt,1917,The Light in the Clearing,91703,Irving Bacheller,a,m
1918 the white morning.txt,1918,The White Morning,32855,Gertrude Atherton,a,f
1918 wild youth.txt,1918,Wild Youth,46642,Gilbert Parker,c,m
1918 the world for sale.txt,1918,The World for Sale,103899,Gilbert Parker,c,m
1918 the passing of the frontier.txt,1918,The Passing of the Frontier,35781,Emerson Hough,a,m
1919 the avalanche.txt,1919,The Avalanche,41524,Gertrude Atherton,a,f
1919 all roads lead to calvary.txt,1919,All Roads Lead to Calvary,92235,Jerome Kapla Jerome,b,m
1920 the age of innocence.txt,1920,The Age of Innocence,102424,Edith Wharton,a,f
1920 the white people.txt,1920,The White People,21477,Frances Burnett,a,f
1921 the secret power.txt,1921,The Secret Power,93982,Marie Corelli,b,f
1921 no defence.txt,1921,No Defence,84081,Gilbert Parker,c,m
1921 the sisters-in-law.txt,1921,The Sisters-in-Law,112786,Gertrude Atherton,a,f
1921 to him that hath.txt,1921,To Him that Hath,80056,Ralph Connor,c,m
1922 in the days of poor richard.txt,1922,In the Days of Poor Richard,101025,Irving Bacheller,a,m
1922 sleeping fires.txt,1922,Sleeping Fires,53262,Gertrude Atherton,a,f
1922 the glimpses of the moon.txt,1922,The Glimpses of the Moon,83127,Edith Wharton,a,f
1922 the covered wagon.txt,1922,The Covered Wagon,87144,Emerson Hough,a,m
